
# Surface 0 of 1 surfaces

# Curve title: ""p2_contourtmp1.dat""

# Contour 0, label:       10
 2.84327  0.0302452  8 
 2.81807 -0.0204238  8 
 2.81308 -0.0303596  8 
 2.78169 -0.0909647  8 
 2.75747 -0.136723  8 
 2.74952 -0.15157  8 
 2.71622 -0.212174  8 
 2.69686 -0.246657  8 
 2.68203 -0.272779  8 
 2.64687 -0.333384  8 
 2.63626 -0.351258  8 
 2.61062 -0.393989  8 
 2.57565 -0.451232  8 
 2.57358 -0.454594  8 
 2.53527 -0.515199  8 
 2.51505 -0.546635  8 
 2.49608 -0.575804  8 
 2.45599 -0.636409  8 
 2.45444 -0.638698  8 
 2.41461 -0.697014  8 
 2.39384 -0.726942  8 
 2.37231 -0.757619  8 
 2.33323 -0.812451  8 
 2.32907 -0.818223  8 
 2.28458 -0.878828  8 
 2.27263 -0.894858  8 
 2.23901 -0.939433  8 
 2.21202 -0.974691  8 
 2.1924 -1.00004  8 
 2.15142 -1.05223  8 
 2.14473 -1.06064  8 
 2.09585 -1.12125  8 
 2.09081 -1.12739  8 
 2.04569 -1.18185  8 
 2.03021 -1.20028  8 
 1.99437 -1.24246  8 
 1.9696 -1.27121  8 
 1.94185 -1.30306  8 
 1.909 -1.34026  8 
 1.88809 -1.36367  8 
 1.84839 -1.40751  8 
 1.83303 -1.42427  8 
 1.78779 -1.47302  8 
 1.77665 -1.48488  8 
 1.72718 -1.53686  8 
 1.71888 -1.54548  8 
 1.66658 -1.5991  8 
 1.65968 -1.60609  8 
 1.60597 -1.65979  8 
 1.59898 -1.66669  8 
 1.54537 -1.71899  8 
 1.53675 -1.7273  8 
 1.48476 -1.77676  8 
 1.4729 -1.7879  8 
 1.42416 -1.83314  8 
 1.40738 -1.84851  8 
 1.36355 -1.88819  8 
 1.34013 -1.90911  8 
 1.30295 -1.94195  8 
 1.27108 -1.96972  8 
 1.24234 -1.99446  8 
 1.20014 -2.03032  8 
 1.18174 -2.04578  8 
 1.12725 -2.09093  8 
 1.12113 -2.09594  8 
 1.06053 -2.14482  8 
 1.05208 -2.15153  8 
 0.999924 -2.19249  8 
 0.974543 -2.21214  8 
 0.939319 -2.2391  8 
 0.894705 -2.27274  8 
 0.878714 -2.28467  8 
 0.818109 -2.32915  8 
 0.812292 -2.33335  8 
 0.757504 -2.37239  8 
 0.726778 -2.39395  8 
 0.696899 -2.41469  8 
 0.638529 -2.45456  8 
 0.636294 -2.45607  8 
 0.575689 -2.49615  8 
 0.546458 -2.51516  8 
 0.515084 -2.53534  8 
 0.454479 -2.57365  8 
 0.451047 -2.57577  8 
 0.393875 -2.61069  8 
 0.351066 -2.63637  8 
 0.33327 -2.64693  8 
 0.272665 -2.6821  8 
 0.246455 -2.69698  8 
 0.21206 -2.71629  8 
 0.151455 -2.74958  8 

 2.61786  2.99989  8 
 2.63626  2.98756  8 
 2.69686  2.94372  8 
 2.70259  2.93928  8 
 2.75747  2.89418  8 
 2.77506  2.87868  8 
 2.81807  2.83838  8 
 2.83838  2.81807  8 
 2.87868  2.77506  8 
 2.89418  2.75747  8 
 2.93928  2.70259  8 
 2.94372  2.69686  8 
 2.98756  2.63626  8 
 2.99989  2.61786  8 

-2.74958  0.151455  8 
-2.75758  0.136508  8 
-2.78175  0.09085  8 
-2.81313  0.0302452  8 
-2.81819  0.0201956  8 
-2.84333 -0.0303596  8 
-2.87275 -0.0909647  8 
-2.87879 -0.103801  8 
-2.90101 -0.151569  8 
-2.92844 -0.212174  8 
-2.9394 -0.237189  8 
-2.95481 -0.272779  8 
-2.9802 -0.333384  8 
-3 -0.382223  8 

 0.381938  2.99989  8 
 0.33327  2.98015  8 
 0.272665  2.95476  8 
 0.236927  2.93928  8 
 0.21206  2.92839  8 
 0.151455  2.90096  8 
 0.103557  2.87868  8 
 0.09085  2.8727  8 
 0.0302452  2.84327  8 
-0.0204238  2.81807  8 
-0.0303596  2.81308  8 
-0.0909647  2.78169  8 
-0.136723  2.75747  8 
-0.151569  2.74952  8 
-0.212174  2.71622  8 
-0.246657  2.69686  8 
-0.272779  2.68203  8 
-0.333384  2.64687  8 
-0.351258  2.63626  8 
-0.393989  2.61062  8 
-0.451232  2.57565  8 
-0.454594  2.57358  8 
-0.515199  2.53527  8 
-0.546635  2.51505  8 
-0.575804  2.49608  8 
-0.636409  2.45599  8 
-0.638698  2.45444  8 
-0.697014  2.41461  8 
-0.726942  2.39384  8 
-0.757619  2.37231  8 
-0.812451  2.33323  8 
-0.818223  2.32907  8 
-0.878828  2.28458  8 
-0.894858  2.27263  8 
-0.939433  2.23901  8 
-0.974691  2.21202  8 
-1.00004  2.1924  8 
-1.05223  2.15142  8 
-1.06064  2.14473  8 
-1.12125  2.09585  8 
-1.12739  2.09081  8 
-1.18185  2.04569  8 
-1.20028  2.03021  8 
-1.24246  1.99437  8 
-1.27121  1.9696  8 
-1.30306  1.94185  8 
-1.34026  1.909  8 
-1.36367  1.88809  8 
-1.40751  1.84839  8 
-1.42427  1.83303  8 
-1.47302  1.78779  8 
-1.48488  1.77665  8 
-1.53686  1.72718  8 
-1.54548  1.71888  8 
-1.5991  1.66658  8 
-1.60609  1.65968  8 
-1.65979  1.60597  8 
-1.66669  1.59898  8 
-1.71899  1.54537  8 
-1.7273  1.53675  8 
-1.77676  1.48476  8 
-1.7879  1.4729  8 
-1.83314  1.42416  8 
-1.84851  1.40738  8 
-1.88819  1.36355  8 
-1.90911  1.34013  8 
-1.94195  1.30295  8 
-1.96972  1.27108  8 
-1.99446  1.24234  8 
-2.03032  1.20014  8 
-2.04578  1.18174  8 
-2.09093  1.12725  8 
-2.09594  1.12113  8 
-2.14482  1.06053  8 
-2.15153  1.05208  8 
-2.19249  0.999924  8 
-2.21214  0.974543  8 
-2.2391  0.939319  8 
-2.27274  0.894705  8 
-2.28467  0.878714  8 
-2.32915  0.818109  8 
-2.33335  0.812292  8 
-2.37239  0.757504  8 
-2.39395  0.726778  8 
-2.41469  0.696899  8 
-2.45456  0.638529  8 
-2.45607  0.636294  8 
-2.49615  0.575689  8 
-2.51516  0.546458  8 
-2.53534  0.515084  8 
-2.57365  0.454479  8 
-2.57577  0.451047  8 
-2.61069  0.393875  8 
-2.63637  0.351066  8 
-2.64693  0.33327  8 
-2.6821  0.272665  8 
-2.69698  0.246455  8 
-2.71629  0.21206  8 
-2.74958  0.151455  8 


# Contour 2, label:        6
 2.40265 -0.0909647  6 
 2.434 -0.0303596  6 
 2.45444  0.0102677  6 
 2.46437  0.0302452  6 
 2.49348  0.09085  6 
 2.51505  0.137147  6 
 2.52163  0.151455  6 
 2.54844  0.21206  6 
 2.5744  0.272665  6 
 2.57565  0.27573  6 
 2.59888  0.33327  6 
 2.62243  0.393875  6 
 2.63626  0.431142  6 
 2.64481  0.454479  6 
 2.66588  0.515084  6 
 2.68595  0.575689  6 
 2.69686  0.610658  6 
 2.70476  0.636294  6 
 2.72223  0.696899  6 
 2.73859  0.757504  6 
 2.7538  0.818109  6 
